Code,Barcode,Description,Product Weight,Price/Unit,Price/Case,"Unit  
Quantity",Supervison
750-501,647297431621,Silan,12.3oz,$3.00,$36.00,12 Unit,B.A.H.
750-504,651536952426,Silan,32.0oz,$6.00,$72.00,12Unit,B.A.H.
750-503,647297431614,Silan Sugar Free,12.3oz,$4.25,$51.00,12 Unit,B.A.H.
750-505,64729743168,Silan Sugar Free,32.0oz,$10.00,$90.00,9 Unit,B.A.H.
750-508,651536952457,Silan Squeeze Sugar  Free,12.3oz,$4.75,$57.00,12 Unit,B.A.H
750-519,651536952587,Gift Sized Honey,1.05oz,$1.35,$32.40,24 Units,H. Soffer
750-515,651536952594,Honey Squeeze,12.3oz,$5.00,$63.00,12 Unit,H. Soffer
750-516,651536952396,Honey,12.3oz,$5.00,$63.00,12 Unit,H. Soffer
750-521,647297431683,Dates Spread Filling,16oz,$2.33,$28.00,12Unit,B.A.H.
750-525,647297431706,Poppy Seed Filling,14oz,$3.75,$45.00,12Unit,B.A.H.
750-526,647297431690,Halva Filling,14oz,$3.75,$45.00,12Unit,B.A.H.
750-530,6477297431713,"Dulche De Leche  
Filling (Dairy)",14oz,$4.25,$51.00,12 Unit,B.A.H.
750-529,647297431720,Dulce De Leche Filling,14oz,$4.25,$51.00,12 Unit,B.A.H.
750-528,6477297431713,Dulce De Leche Filling  (Dairy),14oz,$4.25,$51.00,12 Unit,B.A.H.
750-524,651536-948573,Pitted Pressed Date’s,17.6oz,$3.75,$60.00,16Unit,B.A.H.
750-591,651536949853,Sugar,2.2lb,$2.20,$22.00,10 units,B.A.H.
750-598,,Oriel Stevia Natural  Sweetener,7oz,$5.25,$63.00,12 units,B.A.H
750-599,,"ORIEL-NATURAL  
STEVIA POWDERED",7oz,$5.00,$60.00,12 Unit,B.A.H
750-611,651536951900,Sesame,3.5oz,$1.50,$36.00,24 Unit,B.A.H.
750-612,651536951917,Coconut,3.5oz,$1.50,$36.00,24 Unit,B.A.H.
750-588,651536953942,Cornflower,7oz,$1.50,$36.00,24Unit,B.A.H.
105-711,651536948993,Potato Starch,17oz,$2.00,$24.00,12Unit,B.A.H.
750-631,651536956028,Dried Yeast,"2.0oz  
(5pk)",$3.50,$35.00,10 Unit,B.A.H.
750-637,651536956073,Fish Gelatin,1.0oz,$3.50,$35.00,10 Unit,B.A.H.
750-639,651536956066,Bread Improver,1.5oz,$3.50,$35.00,10 Unit,B.A.H.
750-821,,Yeast Dough,17.6oz,$4.00,$48.00,12 Unit,B.A.H.
750-822,,Focaccio Bread,17.6oz,$4.00,$48.00,12 Unit,B.A.H.
750-824,,Pretzel Bites,17.6oz,$4.00,$48.00,12 Unit,B.A.H.
750-825,,Italian Pizza Dough,17.6oz,$4.00,$48.00,12 Unit,B.A.H.
750-791,,Sifted White Flour,1kg,$3.00,$30.00,10 Unit,B.A.H.
750-794,,Sifted Challah Flour,1kg,$3.75,$37.50,10 Unit,B.A.H.
750-798,,80% Spelt Flour,1kg,$5.25,$52.50,10 Unit,B.A.H.
750-572,7-290002319788,Baking Rum Extract,50ml,$1.50,$36.00,24 Unit,
750-573,7-290002319788,"Baking Almond 
Extract",50ml,$1.50,$36.00,24 Unit,
770-121,7290002977322*,Sifted White Flour,1kg,$3.25,$33.00,10 Unit,B.A.H.
770-127,7290002977278* *,Sifted Bread Flour,1kg,$4.00,$40.00,10 Unit,B.A.H.
770-120,7290002977155* *,Sifted Wheat Flour,1kg,$3.30,$33.00,10 Unit,B.A.H.
700-355,"7-2900750- 
02971016**",Semolina,1kg,$2.40,$24.00,10 Unit,B.A.H.
770-126,7290002977421* *,Spelt Flour 70%,1kg,$5.50,$55.00,10 Unit,B.A.H.
770-123,7290002977407,"Sifted Flour for  
Challah",1kg,$4.00,$40.00,10 Unit,B.A.H.
770-124,7290002977193*,Sifted Spelt Flour,1kg,$5.50,$55.00,10 Unit,B.A.H.
700-221,7-290002319023,"Maimon Sugar  
Powder",50x10,$0.84,$42.00,50 Unit,
700-222,7-290002319016,"Maimon Baking  
Powder",50x10,$0.84,$42.00,50 Unit,
700-223,7-290000547299,"Maimon Sugar  
Powder",100gr,$0.90,$9.00,10 Unit,
700-236,7-290000547503,Maimon Baking Soda,100gr,$0.90,$9.00,10 Unit,
